query,topIntent,conversationName,description,answer,enabled
What is the minimum amount to open an account?,ANS.FAQs.acc.cert.saving.pools.min.amount.open.acc,FAQ: What is the minimum amount for opening an account?,,"Minimum amount for account opening in local currency: EGP 500 (individual) and EGP 5,000 (corporate).",TRUE
What is the minimum amount for opening an account?,ANS.FAQs.acc.cert.saving.pools.min.amount.open.acc,FAQ: What is the minimum amount for opening an account?,,"Minimum amount for account opening in local currency: EGP 500 (individual) and EGP 5,000 (corporate).",TRUE
Is it possible to issue a check book for the current account?,ANS.FAQs.acc.cert.saving.pools.allow.issu.chequ.book.current.acc,FAQ: Is it allowed to issue a cheque book for the current account?,,"  Yes, you can apply for a cheque book for the current account as per the applicable regulations.",TRUE
Is it allowed to issue a cheque book for the current account?,ANS.FAQs.acc.cert.saving.pools.allow.issu.chequ.book.current.acc,FAQ: Is it allowed to issue a cheque book for the current account?,,"  Yes, you can apply for a cheque book for the current account as per the applicable regulations.",TRUE
What are the durations of certificates in local currency available at the National Bank of Egypt??,ANS.FAQs.acc.cert.saving.pools.term.avail.local.currenc.cert.issu,FAQ: What are the terms of the available local currency certificates issued by NBE?,,"The terms are one year, 2 years, 3 years, 5 years and 10 years.",TRUE
What are the terms of the available local currency certificates issued by NBE?,ANS.FAQs.acc.cert.saving.pools.term.avail.local.currenc.cert.issu,FAQ: What are the terms of the available local currency certificates issued by NBE?,,"The terms are one year, 2 years, 3 years, 5 years and 10 years.",TRUE
Is it possible to open an account in a foreign currency?,ANS.FAQs.acc.cert.saving.pools.open.acc.foreign.currenc,FAQ: Can I open an account in foreign currencies?,,"Yes, you can open accounts in different currencies such as US dollar, Sterling pound or euro, etc.",TRUE
Can I open an account in foreign currencies?,ANS.FAQs.acc.cert.saving.pools.open.acc.foreign.currenc,FAQ: Can I open an account in foreign currencies?,,"Yes, you can open accounts in different currencies such as US dollar, Sterling pound or euro, etc.",TRUE
Can I work for a week?,ANS.FAQs.acc.cert.saving.pools.purchas.cert.on.week,FAQ: Can I purchase a certificate for only one week? ,,"No. However, you can book/choose one of the deposit products, as you can book a deposit for a term of a week until 7 years according to the applicable regulations.",TRUE
Can I purchase a certificate for only one week?,ANS.FAQs.acc.cert.saving.pools.purchas.cert.on.week,FAQ: Can I purchase a certificate for only one week? ,,"No. However, you can book/choose one of the deposit products, as you can book a deposit for a term of a week until 7 years according to the applicable regulations.",TRUE
Can I retrieve the certificate at any time?,ANS.FAQs.acc.cert.saving.pools.cert.redeem.anytim,FAQ: Can the certificate be redeemed anytime? ,,You can redeem a certificate 6 months after its issuance date according to NBE's applicable regulations.,TRUE
Can the certificate be redeemed anytime?,ANS.FAQs.acc.cert.saving.pools.cert.redeem.anytim,FAQ: Can the certificate be redeemed anytime? ,,You can redeem a certificate 6 months after its issuance date according to NBE's applicable regulations.,TRUE
What are the durations of certificates in foreign currency available at the National Bank of Egypt??,ANS.FAQs.acc.cert.saving.pools.term.foreign.currenc.cert.issu,FAQ: What are the terms of the foreign currency certificates issued by NBE?,,"The terms are 3 years, 5 years and 10 years. ",TRUE
What are the terms of the foreign currency certificates issued by NBE?,ANS.FAQs.acc.cert.saving.pools.term.foreign.currenc.cert.issu,FAQ: What are the terms of the foreign currency certificates issued by NBE?,,"The terms are 3 years, 5 years and 10 years. ",TRUE
Is it possible to borrow with the guarantee of certificates/deposits of the National Bank of Egypt?,ANS.FAQs.acc.cert.saving.pools.borrow.against.cert.deposit,FAQ: Can I borrow against a certificate/deposit?,,"Yes, you can borrow against a certificate/deposit according to NBE's applicable regulations. ",TRUE
Can I borrow against a certificate/deposit?,ANS.FAQs.acc.cert.saving.pools.borrow.against.cert.deposit,FAQ: Can I borrow against a certificate/deposit?,,"Yes, you can borrow against a certificate/deposit according to NBE's applicable regulations. ",TRUE
Can I choose to receive a paper account statement and an account statement via e-mail?,ANS.FAQs.acc.cert.saving.pools.choos.receiv.paper.statement.e.email,FAQ: Can I choose to receive both paper statements and e-statements via email? ,,"No, once you request an e-statement via email, you will not receive paper statements. ",TRUE
Can I choose to receive both paper statements and e-statements via email?,ANS.FAQs.acc.cert.saving.pools.choos.receiv.paper.statement.e.email,FAQ: Can I choose to receive both paper statements and e-statements via email? ,,"No, once you request an e-statement via email, you will not receive paper statements. ",TRUE
Can I open a pension savings account while I still have the strength of my company?,ANS.FAQs.acc.cert.saving.pools.open.pension.acc.work.compani,FAQ: Can I open a pension saving account while I am still working at a company?,,"No, you can only open a pension account upon retirement; however, you can choose any other saving accounts.",TRUE
Can I open a pension saving account while I am still working at a company?,ANS.FAQs.acc.cert.saving.pools.open.pension.acc.work.compani,FAQ: Can I open a pension saving account while I am still working at a company?,,"No, you can only open a pension account upon retirement; however, you can choose any other saving accounts.",TRUE
Is it possible to open an account for foreigners?,ANS.FAQs.acc.cert.saving.pools.foreign.open.acc,FAQ: Can foreigners open accounts?,,"Yes, foreigners can open accounts.",TRUE
Can foreigners open accounts?,ANS.FAQs.acc.cert.saving.pools.foreign.open.acc,FAQ: Can foreigners open accounts?,,"Yes, foreigners can open accounts.",TRUE
Is it possible to open a joint account?,ANS.FAQs.acc.cert.saving.pools.open.joint.acc,FAQ: Can I open a joint account?,,"Yes, you can open a joint account.",TRUE
Can I open a joint account?,ANS.FAQs.acc.cert.saving.pools.open.joint.acc,FAQ: Can I open a joint account?,,"Yes, you can open a joint account.",TRUE
Can a student under 21 years old open an account?,ANS.FAQs.acc.cert.saving.pools.student.ag.year.open.acc,FAQ: Can a student under the age of 21 years open an account?,,"Yes, Al Mostakbal Saving account can be opened starting from the age of 16 years.",TRUE
Can a student under the age of 21 years open an account?,ANS.FAQs.acc.cert.saving.pools.student.ag.year.open.acc,FAQ: Can a student under the age of 21 years open an account?,,"Yes, Al Mostakbal Saving account can be opened starting from the age of 16 years.",TRUE
Can a card be issued on the account?,ANS.FAQs.acc.cert.saving.pools.card.issu.acc,FAQ: Can a card be issued for an account?,,"Yes, debit cards can be issued for local currency accounts only.",TRUE
Can a card be issued for an account?,ANS.FAQs.acc.cert.saving.pools.card.issu.acc,FAQ: Can a card be issued for an account?,,"Yes, debit cards can be issued for local currency accounts only.",TRUE
Is there a maximum limit for opening accounts?,ANS.FAQs.acc.cert.saving.pools.max.amount.open.acc,FAQ: Is there a maximum amount for opening an account? ,,"There is no maximum amount to open an account, except for the pension saving account as its maximum is one million Egyptian pounds or the value of end of service gratuity, whichever is lesser.",TRUE
Is there a maximum amount for opening an account?,ANS.FAQs.acc.cert.saving.pools.max.amount.open.acc,FAQ: Is there a maximum amount for opening an account? ,,"There is no maximum amount to open an account, except for the pension saving account as its maximum is one million Egyptian pounds or the value of end of service gratuity, whichever is lesser.",TRUE
Are there prize draws on accounts?,ANS.FAQs.acc.cert.saving.pools.prize.draw.acc,FAQ: Are there prize drawings for the accounts? ,,"Yes, you can open an EGP Small Saving Account or USD/GBP Prizes Saving Account and enter drawings for prizes by categories. ",TRUE
Are there prize drawings for the accounts?,ANS.FAQs.acc.cert.saving.pools.prize.draw.acc,FAQ: Are there prize drawings for the accounts? ,,"Yes, you can open an EGP Small Saving Account or USD/GBP Prizes Saving Account and enter drawings for prizes by categories. ",TRUE
Is there an alternative to the paper account statement or cancellation?,ANS.FAQs.acc.cert.saving.pools.altern.paper.statement.acc.cancel,FAQ: Is there an alternative for paper statements of account or can this service be cancelled? ,,"Yes, the customer can cancel the paper statements of account and choose either to receive e-statements via email or to review transactions using Al Ahly Net.",TRUE
Is there an alternative for paper statements of account or can this service be cancelled?,ANS.FAQs.acc.cert.saving.pools.altern.paper.statement.acc.cancel,FAQ: Is there an alternative for paper statements of account or can this service be cancelled? ,,"Yes, the customer can cancel the paper statements of account and choose either to receive e-statements via email or to review transactions using Al Ahly Net.",TRUE
How can I obtain a housing unit in the real estate financing initiative?,ANS.FAQs.mortgage.finance.residenti.unit.initi,FAQ: How can I get a residential unit through the Mortgage Finance initiative?,,You can either apply to the Mortgage Finance Fund (its advertisements) or head to one of NBE branches for mortgage finance to purchase a ready-to-move unit.,TRUE
How can I get a residential unit through the Mortgage Finance initiative?,ANS.FAQs.mortgage.finance.residenti.unit.initi,FAQ: How can I get a residential unit through the Mortgage Finance initiative?,,You can either apply to the Mortgage Finance Fund (its advertisements) or head to one of NBE branches for mortgage finance to purchase a ready-to-move unit.,TRUE
What are the specifications of the bankable housing units?,ANS.FAQs.mortgage.finance.requir.financ.residenti.unit,FAQ: What are the requirements of financeable residential units? ,,A fully finished unit registered or registrable at the Authority of Real Estate Proclamation and Notarization. ,TRUE
What are the requirements of financeable residential units?,ANS.FAQs.mortgage.finance.requir.financ.residenti.unit,FAQ: What are the requirements of financeable residential units? ,,A fully finished unit registered or registrable at the Authority of Real Estate Proclamation and Notarization. ,TRUE
How to borrow with the guarantee of new platinum certificates with a monthly return of 18%?,ANS.FAQs.auto.loan.borrow.against.new.annual.platinum.cert.monthli.return,FAQ: How can I borrow against the new 18% annual platinum certificate with a monthly return?  ,,You can borrow against the certificate at 2% interest rate above the certificate's rate. The minimum term is 3 months and the maximum term is one year. ,TRUE
How can I borrow against the new 18% annual platinum certificate with a monthly return?,ANS.FAQs.auto.loan.borrow.against.new.annual.platinum.cert.monthli.return,FAQ: How can I borrow against the new 18% annual platinum certificate with a monthly return?  ,,You can borrow against the certificate at 2% interest rate above the certificate's rate. The minimum term is 3 months and the maximum term is one year. ,TRUE
What is the maximum financing term for a car loan?,ANS.FAQs.auto.loan.max.tenor,FAQ: What is the maximum Auto Loan tenor?,,The maximum Auto Loan tenor is 7 years. ,TRUE
What is the maximum Auto Loan tenor?,ANS.FAQs.auto.loan.max.tenor,FAQ: What is the maximum Auto Loan tenor?,,The maximum Auto Loan tenor is 7 years. ,TRUE
How can I subscribe to AlAhli Platinum service?,ANS.FAQs.alAhlyPlatinum.services.subscrib,FAQ: How can I subscribe to Al Ahly Platinum Services? ,,"Once you qualify, you will be automatically enrolled and contacted by a dedicated relationship manager. For more information, kindly visit the nearest branch or contact the 24/7 Al Ahly Platinum call center on 19523. ",TRUE
How can I subscribe to Al Ahly Platinum Services?,ANS.FAQs.alAhlyPlatinum.services.subscrib,FAQ: How can I subscribe to Al Ahly Platinum Services? ,,"Once you qualify, you will be automatically enrolled and contacted by a dedicated relationship manager. For more information, kindly visit the nearest branch or contact the 24/7 Al Ahly Platinum call center on 19523. ",TRUE
How to qualify for Platinum status?,ANS.FAQs.alAhlyPlatinum.services.qualifi.segment,FAQ: How to qualify to Platinum segment? ,,"Simply maintain with NBE a balance equal or above EGP 1,500,000 (or equivalent in any foreign currency).  ",TRUE
How to qualify to Platinum segment?,ANS.FAQs.alAhlyPlatinum.services.qualifi.segment,FAQ: How to qualify to Platinum segment? ,,"Simply maintain with NBE a balance equal or above EGP 1,500,000 (or equivalent in any foreign currency).  ",TRUE
How to qualify for the Platinum Plus tier?,ANS.FAQs.alAhlyPlatinum.services.qualifi.plu,FAQ: How to qualify to Platinum Plus? ,,"Simply maintain with NBE a balance equal to or above EGP 5,000,000 (or equivalent in any foreign currency). ",TRUE
How to qualify to Platinum Plus?,ANS.FAQs.alAhlyPlatinum.services.qualifi.plu,FAQ: How to qualify to Platinum Plus? ,,"Simply maintain with NBE a balance equal to or above EGP 5,000,000 (or equivalent in any foreign currency). ",TRUE
How to qualify for Platinum Elite?,ANS.FAQs.alAhlyPlatinum.services.qualifi.elit,FAQ: How to qualify to Platinum Elite? ,,"Simply maintain with NBE a balance equal to or above EGP 20,000,000 (or equivalent in any foreign currency). ",TRUE
How to qualify to Platinum Elite?,ANS.FAQs.alAhlyPlatinum.services.qualifi.elit,FAQ: How to qualify to Platinum Elite? ,,"Simply maintain with NBE a balance equal to or above EGP 20,000,000 (or equivalent in any foreign currency). ",TRUE
How to subscribe to roadside assistance services?,ANS.FAQs.alAhlyPlatinum.services.subscrib.road.assist,FAQ: How to subscribe to Road Assistance Service? ,,"For more information about Road Assistance service, how to register and how to get the service 24/7, please visit: https://www.getmayday.io/register.html",TRUE
How to subscribe to Road Assistance Service?,ANS.FAQs.alAhlyPlatinum.services.subscrib.road.assist,FAQ: How to subscribe to Road Assistance Service? ,,"For more information about Road Assistance service, how to register and how to get the service 24/7, please visit: https://www.getmayday.io/register.html",TRUE
How to subscribe to concierge services?,ANS.FAQs.alAhlyPlatinum.services.subscrib.concierg,FAQ: How to subscribe to Concierge service? ,,"To activate Concierge service, and review and subscribe to any of the monthly offers 24/7, please visit: https://lesconciergesegypt.com/nbe and activate your subscription or call 01033222399.",TRUE
How to subscribe to Concierge service?,ANS.FAQs.alAhlyPlatinum.services.subscrib.concierg,FAQ: How to subscribe to Concierge service? ,,"To activate Concierge service, and review and subscribe to any of the monthly offers 24/7, please visit: https://lesconciergesegypt.com/nbe and activate your subscription or call 01033222399.",TRUE
What are the criteria for classifying customers at the bank?,ANS.FAQs.alAhlyPlatinum.services.s.custom.segment.criteria,FAQ: What are NBE's customers' segmentation criteria? ,,"Customers are segmented as per 3 criteria: 
1) Customer's total assets under management (AUMs): Customers are segmented based on their least credit balance for 3 consecutive months, in case a customer booked a Term Deposit/ Deposit with a tenor more than 3 months, they are segmented directly. The balances shall be in EGP or their equivalents in foreign currencies. 

2) Related customers ""Customer's family"": Platinum Plus and Platinum Elite customers can add family members such as their spouse and children ""first degree relationship"" to benefit from the non-financial advantages of the Platinum segment. These services will be launched gradually. A guardian father or mother will benefit from these advantages in case their minor is eligible to be within the Platinum Plus or Platinum Elite. 

3) VIP: Customers segmented as VIPs can benefit from the non-financial advantages of the Platinum segment from the first day, on a case by case basis, subject to the approval of the Retail Banking CEO. ",TRUE
What are NBE's customers' segmentation criteria?,ANS.FAQs.alAhlyPlatinum.services.s.custom.segment.criteria,FAQ: What are NBE's customers' segmentation criteria? ,,"Customers are segmented as per 3 criteria: 
1) Customer's total assets under management (AUMs): Customers are segmented based on their least credit balance for 3 consecutive months, in case a customer booked a Term Deposit/ Deposit with a tenor more than 3 months, they are segmented directly. The balances shall be in EGP or their equivalents in foreign currencies. 

2) Related customers ""Customer's family"": Platinum Plus and Platinum Elite customers can add family members such as their spouse and children ""first degree relationship"" to benefit from the non-financial advantages of the Platinum segment. These services will be launched gradually. A guardian father or mother will benefit from these advantages in case their minor is eligible to be within the Platinum Plus or Platinum Elite. 

3) VIP: Customers segmented as VIPs can benefit from the non-financial advantages of the Platinum segment from the first day, on a case by case basis, subject to the approval of the Retail Banking CEO. ",TRUE
What are the subscription fees for the service? And when are fees applied to the service?,ANS.FAQs.alAhlyPlatinum.services.subscript.fee.when.appli,FAQ: What are the subscription fees? And when are fees applied to the service? ,,"These services are free of charge unless the customer's AUMs drop below the minimum requirements stated. NBE provides its customers a three-month grace period to increase their AUMs and reach the minimum threshold balance without applying any fees or expenses and the customer continues to enjoy all the segment's advantages. 

Fees only apply in case the AUMs drop below the minimum threshold balance for more than three consecutive months (the grace period) after which the following fees will be deducted for consecutive 6 months in order for customers to enjoy all membership benefits: 
EGP 200 for Platinum Elite 
EGP 150 for Platinum Plus 
EGP 75 for Platinum 

""Terms and conditions apply"" ",TRUE
What are the subscription fees? And when are fees applied to the service?,ANS.FAQs.alAhlyPlatinum.services.subscript.fee.when.appli,FAQ: What are the subscription fees? And when are fees applied to the service? ,,"These services are free of charge unless the customer's AUMs drop below the minimum requirements stated. NBE provides its customers a three-month grace period to increase their AUMs and reach the minimum threshold balance without applying any fees or expenses and the customer continues to enjoy all the segment's advantages. 

Fees only apply in case the AUMs drop below the minimum threshold balance for more than three consecutive months (the grace period) after which the following fees will be deducted for consecutive 6 months in order for customers to enjoy all membership benefits: 
EGP 200 for Platinum Elite 
EGP 150 for Platinum Plus 
EGP 75 for Platinum 

""Terms and conditions apply"" ",TRUE
How to exit the service?,ANS.FAQs.alAhlyPlatinum.services.opt,FAQ: How to opt out of the service? ,,"Please visit the nearest branch or call 19523. Alternatively, you can contact the assigned relationship manager to opt out of Platinum Plus/ Platinum Elite/ Platinum membership. ",TRUE
How to opt out of the service?,ANS.FAQs.alAhlyPlatinum.services.opt,FAQ: How to opt out of the service? ,,"Please visit the nearest branch or call 19523. Alternatively, you can contact the assigned relationship manager to opt out of Platinum Plus/ Platinum Elite/ Platinum membership. ",TRUE
What is the AL-AHLY Points Program?,ANS.FAQs.alAhlyPoints.program,FAQ: What is AL-AHLY Points program? ,,"AL-AHLY Points is NBE loyalty program that rewards its valued customers through earning points for every purchase transaction made on your NBE MasterCard and Visa Cards (credit, debit & prepaid) which can then be redeemed for E-vouchers that can be used at all our redemption network or travel all over the world, Mobile Top Up or Cash Rewards. 

Points are not earned for merchants' installment, Fawry, government payment transactions, and Phone Cash transactions made by NBE cards.",TRUE
What is AL-AHLY Points program?,ANS.FAQs.alAhlyPoints.program,FAQ: What is AL-AHLY Points program? ,,"AL-AHLY Points is NBE loyalty program that rewards its valued customers through earning points for every purchase transaction made on your NBE MasterCard and Visa Cards (credit, debit & prepaid) which can then be redeemed for E-vouchers that can be used at all our redemption network or travel all over the world, Mobile Top Up or Cash Rewards. 

Points are not earned for merchants' installment, Fawry, government payment transactions, and Phone Cash transactions made by NBE cards.",TRUE
How can I register for the AL-AHLY Points Program?,ANS.FAQs.alAhlyPoints.enrol.reward.program,FAQ: How do I enroll into AL-AHLY Points reward program? ,,"Enrollment into AL-AHLY Points Program is automatic, once the customer activates his NBE MasterCard & Visa Cards (credit, debit & prepaid).",TRUE
How do I enroll into AL-AHLY Points reward program?,ANS.FAQs.alAhlyPoints.enrol.reward.program,FAQ: How do I enroll into AL-AHLY Points reward program? ,,"Enrollment into AL-AHLY Points Program is automatic, once the customer activates his NBE MasterCard & Visa Cards (credit, debit & prepaid).",TRUE
HOW TO EARN AL-AHLY POINTS?,ANS.FAQs.alAhlyPoints.earn,FAQ: How can I earn AL-AHLY Points? ,,"Use your NBE Mastercard & Visa Cards for all your domestic and international retail spends to earn AL_AHLY Points. 

The number of AL-AHLY Points that you will be awarded depends on the type of MasterCard & Visa Card you hold. 

Points for every pound
2 points: MasterCard World Elite & Visa Infinite Credit Cards 
1.75 points: MasterCard World & Visa Signature Credit Cards
1.5 points: Platinum & Manchester Titanium Credit Cards 
1.5 points: MasterCard World Elite Debit Cards
1.25 points: MasterCard World Debit Cards 
1 point: Titanium, Gold & Classic Credit Cards
1 point: Corporate Credit Cards 
1 point: Platinum Debit Cards
0.5 point: Gold & Classic Debit Cards 
0.5 point: Manchester united, Colleges & Remittance Prepaid Cards
1 point: Remittance Cards ""foreign currencies converted to EGP""",TRUE
How can I earn AL-AHLY Points?,ANS.FAQs.alAhlyPoints.earn,FAQ: How can I earn AL-AHLY Points? ,,"Use your NBE Mastercard & Visa Cards for all your domestic and international retail spends to earn AL_AHLY Points. 

The number of AL-AHLY Points that you will be awarded depends on the type of MasterCard & Visa Card you hold. 

Points for every pound
2 points: MasterCard World Elite & Visa Infinite Credit Cards 
1.75 points: MasterCard World & Visa Signature Credit Cards
1.5 points: Platinum & Manchester Titanium Credit Cards 
1.5 points: MasterCard World Elite Debit Cards
1.25 points: MasterCard World Debit Cards 
1 point: Titanium, Gold & Classic Credit Cards
1 point: Corporate Credit Cards 
1 point: Platinum Debit Cards
0.5 point: Gold & Classic Debit Cards 
0.5 point: Manchester united, Colleges & Remittance Prepaid Cards
1 point: Remittance Cards ""foreign currencies converted to EGP""",TRUE
Are there any membership fees to register for the program?,ANS.FAQs.alAhlyPoints.membership.fee.enrol.program,FAQ: Are there any membership fees to enroll in the program? ,,"No. The enrollment in AL-AHLY Points program is absolutely free of charge and NBE customers are automatically enrolled in AL-AHLy Points Rewards Program, once they activate their NBE MasterCard & Visa Cards. ",TRUE
Are there any membership fees to enroll in the program?,ANS.FAQs.alAhlyPoints.membership.fee.enrol.program,FAQ: Are there any membership fees to enroll in the program? ,,"No. The enrollment in AL-AHLY Points program is absolutely free of charge and NBE customers are automatically enrolled in AL-AHLy Points Rewards Program, once they activate their NBE MasterCard & Visa Cards. ",TRUE
What are the products of the National Bank that grant AL-AHLY Points?,ANS.FAQs.alAhlyPoints.product.offer,FAQ: What are the NBE Products and Services that offer AL-AHLY Points? ,,"You will earn AL-AHLY Points on all spendings made using any of NBE MasterCard & Visa Cards (credit, debit and prepaid ""Manchester united, colleges and Remittances"") except for merchants' installment, fawry, government payments, and Phone Cash transactions. ",TRUE
What are the NBE Products and Services that offer AL-AHLY Points?,ANS.FAQs.alAhlyPoints.product.offer,FAQ: What are the NBE Products and Services that offer AL-AHLY Points? ,,"You will earn AL-AHLY Points on all spendings made using any of NBE MasterCard & Visa Cards (credit, debit and prepaid ""Manchester united, colleges and Remittances"") except for merchants' installment, fawry, government payments, and Phone Cash transactions. ",TRUE
Is there an expiry date for AL-AHLY Points?,ANS.FAQs.alAhlyPoints.expir,FAQ: Do AL-AHLY Points expire? ,,AL-AHLY Points collected will automatically expire after 36 months from the date of the purchase transaction. ,TRUE
Do AL-AHLY Points expire?,ANS.FAQs.alAhlyPoints.expir,FAQ: Do AL-AHLY Points expire? ,,AL-AHLY Points collected will automatically expire after 36 months from the date of the purchase transaction. ,TRUE
How can I track my AL-AHLY Points balance?,ANS.FAQs.alAhlyPoints.keep.track.balanc,FAQ: How can I keep track of my AL-AHLY Points balance? ,,AL-AHLY Points balance can be found either when you log on to the rewards website www.alahlypoints.com or by calling our call center on 19623. ,TRUE
How can I keep track of my AL-AHLY Points balance?,ANS.FAQs.alAhlyPoints.keep.track.balanc,FAQ: How can I keep track of my AL-AHLY Points balance? ,,AL-AHLY Points balance can be found either when you log on to the rewards website www.alahlypoints.com or by calling our call center on 19623. ,TRUE
How can AlAhli points be exchanged for electronic vouchers?,ANS.FAQs.alAhlyPoints.redeem.e.voucher,FAQ: How can I redeem my AL-AHLY Points to e-vouchers? ,,"To redeem your points online, log on to www.alahlypoints.com and redeem directly online. 
To redeem over the phone, contact our call center on 19623 and request a redemption of your AL-AHLY Points. ",TRUE
How can I redeem my AL-AHLY Points to e-vouchers?,ANS.FAQs.alAhlyPoints.redeem.e.voucher,FAQ: How can I redeem my AL-AHLY Points to e-vouchers? ,,"To redeem your points online, log on to www.alahlypoints.com and redeem directly online. 
To redeem over the phone, contact our call center on 19623 and request a redemption of your AL-AHLY Points. ",TRUE
Can vouchers be exchanged for cash?,ANS.FAQs.alAhlyPoints.voucher.exchang.cash,FAQ: Can the vouchers be exchanged for cash? ,,"No, you cannot exchange your e-vouchers for cash, you can however use your vouchers together with cash to make a purchase. ",TRUE
Can the vouchers be exchanged for cash?,ANS.FAQs.alAhlyPoints.voucher.exchang.cash,FAQ: Can the vouchers be exchanged for cash? ,,"No, you cannot exchange your e-vouchers for cash, you can however use your vouchers together with cash to make a purchase. ",TRUE
What are the categories of vouchers that can be redeemed?,ANS.FAQs.alAhlyPoints.voucher.denomin,FAQ: What are the Vouchers denominations?,,"10,000 points= EGP 100
20,000 points= EGP 200
50,000 points= EGP 500
100,000 points= EGP 1,000 
500,000 points= EGP 5,000 
1,000,000 points= EGP 10,000 ",TRUE
What are the Vouchers denominations?,ANS.FAQs.alAhlyPoints.voucher.denomin,FAQ: What are the Vouchers denominations?,,"10,000 points= EGP 100
20,000 points= EGP 200
50,000 points= EGP 500
100,000 points= EGP 1,000 
500,000 points= EGP 5,000 
1,000,000 points= EGP 10,000 ",TRUE
How are electronic vouchers received?,ANS.FAQs.alAhlyPoints.receiv.e.voucher,FAQ: How can I receive my e-vouchers? ,,An SMS will be sent to the customer's registered mobile number at NBE. ,TRUE
How can I receive my e-vouchers?,ANS.FAQs.alAhlyPoints.receiv.e.voucher,FAQ: How can I receive my e-vouchers? ,,An SMS will be sent to the customer's registered mobile number at NBE. ,TRUE
How are electronic vouchers used by merchants?,ANS.FAQs.alAhlyPoints.us.e.voucher.merchant,FAQ: How can I use my e-voucher at the merchants? ,,The customer is required to provide the pin code mentioned in the SMS in addition to the last 6 numbers of his/her national ID.,TRUE
