query,topIntent,conversationName,description,answer,enabled,intentAnnotations,exampleDataAnnotations
Is a corporate salary advance available to all employees or only to certain levels?,NBE.Core.PayrollServices,Payroll Services,,,true,,
How do I track and manage the expenses made by my employees with the Corporate Payroll Card Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
How do I check the balance of my Bank Corporate Payroll Current Account?,NBE.Core.PayrollServices,Payroll Services,,,true,,
How do I enroll my employees in the Corporate Payroll Card Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
How does the Corporate Payroll Card Program work for international employees?,NBE.Core.PayrollServices,Payroll Services,,,true,,
corporate payrolls,NBE.Core.PayrollServices,Payroll Services,,,true,,
payroll services,NBE.Core.PayrollServices,Payroll Services,,,true,,
What support and resources are available to me as a user of the Corporate Payroll Card Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
Is the Corporate Payroll Card Program secure for my employees' personal information?,NBE.Core.PayrollServices,Payroll Services,,,true,,
what are the services of payroll,NBE.Core.PayrollServices,Payroll Services,,,true,,
What are the eligibility requirements for the Bank Corporate Payroll Current Account Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
What are the interest rates for a corporate salary advance?,NBE.Core.PayrollServices,Payroll Services,,,true,,
Are there any hidden charges for a corporate salary advance?,NBE.Core.PayrollServices,Payroll Services,,,true,,
payrolls,NBE.Core.PayrollServices,Payroll Services,,,true,,
Are there any fees associated with the Corporate Payroll Card Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
How can I access my Bank Corporate Payroll Current Account online?,NBE.Core.PayrollServices,Payroll Services,,,true,,
How long does it take to process a corporate salary advance?,NBE.Core.PayrollServices,Payroll Services,,,true,,
payroll service,NBE.Core.PayrollServices,Payroll Services,,,true,,
Can you tell me the eligibility criteria for a corporate salary advance?,NBE.Core.PayrollServices,Payroll Services,,,true,,
Can you tell me more about the features of the Bank Corporate Payroll Current Account Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
Can I get a corporate salary advance without a credit check?,NBE.Core.PayrollServices,Payroll Services,,,true,,
How can I apply for a corporate salary advance?,NBE.Core.PayrollServices,Payroll Services,,,true,,
Can I customize the Corporate Payroll Card Program for my company's needs?,NBE.Core.PayrollServices,Payroll Services,,,true,,
Are there any rewards or incentives for using the Bank Corporate Payroll Current Account Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
How can I enroll in the Bank Corporate Payroll Current Account Program?,NBE.Core.PayrollServices,Payroll Services,,,true,,
Can more than one account be linked to the card?,ANS.FAQs.corp.debit.cards.on.acc.link.card,FAQ: Can more than one account be linked to the card?,,"Yes, more than one of the customer's current accounts can be linked to the debit card.",true,,
Can more than one account be linked to the card,ANS.FAQs.corp.debit.cards.on.acc.link.card,FAQ: Can more than one account be linked to the card?,,"Yes, more than one of the customer's current accounts can be linked to the debit card.",true,,
Can the debit card be linked to the Phone Cash wallet,ANS.FAQs.debit.cards.card.link.phone.cash.wallet,FAQ: Can the debit card be linked to the Phone Cash wallet?,,"Yes, the debit card can be linked to the Phone Cash wallet.",true,,
Can the debit card be linked to the Phone Cash wallet?,ANS.FAQs.debit.cards.card.link.phone.cash.wallet,FAQ: Can the debit card be linked to the Phone Cash wallet?,,"Yes, the debit card can be linked to the Phone Cash wallet.",true,,
Can the different details of prepaid cards be viewed,ANS.FAQs.alAhlyNet.nbe.mobile.ret.differ.detail.prepaid.card.view,FAQ: Can the different details of prepaid cards be viewed?,,"Yes, log in and go to the menu, select �Prepaid Cards�, then click on �Card Details� to view all details.",true,,
Can the different details of prepaid cards be viewed?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.differ.detail.prepaid.card.view,FAQ: Can the different details of prepaid cards be viewed?,,"Yes, log in and go to the menu, select �Prepaid Cards�, then click on �Card Details� to view all details.",true,,
Can certificates/deposits be redeemed via the service?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.cert.deposit.redeem,FAQ: Can certificates/deposits be redeemed via the service?,,"Yes, certificates/deposits can be redeemed via Al Ahly Net/NBE Mobile. Click on the menu �Accounts�, �Certificates/Deposits�, then click on ""Redeem Certificates/Deposits�",true,,
Can certificates/deposits be redeemed via the service,ANS.FAQs.alAhlyNet.nbe.mobile.ret.cert.deposit.redeem,FAQ: Can certificates/deposits be redeemed via the service?,,"Yes, certificates/deposits can be redeemed via Al Ahly Net/NBE Mobile. Click on the menu �Accounts�, �Certificates/Deposits�, then click on ""Redeem Certificates/Deposits�",true,,
How can I change my password?,ANS.FAQs.alAhlyPhoneCash.chang.password,FAQ: How can I change my password?,,"Log into the mobile application main menu, click ""settings"", click ""change password"", enter the current wallet password and then enter the new password twice (for confirmation).",true,,
How can I change my password,ANS.FAQs.alAhlyPhoneCash.chang.password,FAQ: How can I change my password?,,"Log into the mobile application main menu, click ""settings"", click ""change password"", enter the current wallet password and then enter the new password twice (for confirmation).",true,,
Can the vouchers be exchanged for cash?,ANS.FAQs.alAhlyPoints.voucher.exchang.cash,FAQ: Can the vouchers be exchanged for cash?,,"No, you cannot exchange your e-vouchers for cash, you can however use your vouchers together with cash to make a purchase.",true,,
Can the vouchers be exchanged for cash,ANS.FAQs.alAhlyPoints.voucher.exchang.cash,FAQ: Can the vouchers be exchanged for cash?,,"No, you cannot exchange your e-vouchers for cash, you can however use your vouchers together with cash to make a purchase.",true,,
How can I review the details of the transactions made via the wallet,ANS.FAQs.alAhlyPhoneCash.review.detail.transact.made.wallet,FAQ: How can I review the details of the transactions made via the wallet?,,"It is available to review the previous transactions made via the wallet from ""my transactions"" service on the mobile application.",true,,
How can I review the details of the transactions made via the wallet?,ANS.FAQs.alAhlyPhoneCash.review.detail.transact.made.wallet,FAQ: How can I review the details of the transactions made via the wallet?,,"It is available to review the previous transactions made via the wallet from ""my transactions"" service on the mobile application.",true,,
How can I get a password to use Al Ahly Net & NBE Mobile?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.password.us,FAQ: How can I get a password to use Al Ahly Net & NBE Mobile?,,"After subscribing to the service, a �Login Passcode� will be sent to your mobile phone registered with the Bank to be used in creating your �Login Password�.",true,,
How can I get a password to use Al Ahly Net & NBE Mobile,ANS.FAQs.alAhlyNet.nbe.mobile.ret.password.us,FAQ: How can I get a password to use Al Ahly Net & NBE Mobile?,,"After subscribing to the service, a �Login Passcode� will be sent to your mobile phone registered with the Bank to be used in creating your �Login Password�.",true,,
What are the Vouchers denominations?,ANS.FAQs.alAhlyPoints.voucher.denomin,FAQ: What are the Vouchers denominations?,,"10,000 points= EGP 100
20,000 points= EGP 200
50,000 points= EGP 500
100,000 points= EGP 1,000 
500,000 points= EGP 5,000 
1,000,000 points= EGP 10,000",true,,
What are the Vouchers denominations,ANS.FAQs.alAhlyPoints.voucher.denomin,FAQ: What are the Vouchers denominations?,,"10,000 points= EGP 100
20,000 points= EGP 200
50,000 points= EGP 500
100,000 points= EGP 1,000 
500,000 points= EGP 5,000 
1,000,000 points= EGP 10,000",true,,
How can I replace my NBE card number that is linked to the wallet upon the replacement of the card due to loss or damage?,ANS.FAQs.alAhlyPhoneCash.replac.card.number.link.wallet.upon.replac.due.loss.damag,FAQ: How can I replace my NBE card number that is linked to the wallet upon the replacement of the card due to loss or damage?,,"Open the mobile application, click ""My wallet"", then ""My cards"", select the replaced card, press remove, then press the plus ""+"" icon to insert the new card details.",true,,
How can I replace my NBE card number that is linked to the wallet upon the replacement of the card due to loss or damage,ANS.FAQs.alAhlyPhoneCash.replac.card.number.link.wallet.upon.replac.due.loss.damag,FAQ: How can I replace my NBE card number that is linked to the wallet upon the replacement of the card due to loss or damage?,,"Open the mobile application, click ""My wallet"", then ""My cards"", select the replaced card, press remove, then press the plus ""+"" icon to insert the new card details.",true,,
Can I remove categories and add other categories in their place,ANS.FAQs.alAhlyNet.nbe.mobile.ret.remov.categori.add.place,FAQ: Can I remove categories and add other categories in their place?,,You may not remove previously added categories but you can modify the name of the category.,true,,
Can I remove categories and add other categories in their place?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.remov.categori.add.place,FAQ: Can I remove categories and add other categories in their place?,,You may not remove previously added categories but you can modify the name of the category.,true,,
Can a POS machine be linked to a retail account,ANS.FAQs.pos.machin.link.ret.acc,FAQ: Can a POS machine be linked to a retail account?,,No. A corporate current account shall be opened for business transactions.,true,,
Can a POS machine be linked to a retail account?,ANS.FAQs.pos.machin.link.ret.acc,FAQ: Can a POS machine be linked to a retail account?,,No. A corporate current account shall be opened for business transactions.,true,,
How much is the card issuance fee?,ANS.FAQs.corp.debit.cards.card.issuanc.fee,FAQ: How much is the Card issuance fee?,,The card issuance fee is EGP 100.,true,,
How much is the card issuance fee,ANS.FAQs.corp.debit.cards.card.issuanc.fee,FAQ: How much is the Card issuance fee?,,The card issuance fee is EGP 100.,true,,
what are your credit card types,NBE.Core.Cards,Cards,,,true,,
How do I report a lost or stolen MasterCard Corporate Card?,NBE.Core.Cards,Cards,,,true,,
What happens if I lose my prepaid card?,NBE.Core.Cards,Cards,,,true,,
What is the interest rate on a corporate debit card?,NBE.Core.Cards,Cards,,,true,,
Can I use my debit card internationally?,NBE.Core.Cards,Cards,,,true,,
How do I dispute a charge on my debit card statement?,NBE.Core.Cards,Cards,,,true,,
How can I manage my MasterCard Corporate Card account online?,NBE.Core.Cards,Cards,,,true,,
cards types,NBE.Core.Cards,Cards,,,true,,
how to make credit card payments,NBE.Core.Cards,Cards,,,true,,
What are the benefits of a corporate prepaid card?,NBE.Core.Cards,Cards,,,true,,
what are cards NBE provides?,NBE.Core.Cards,Cards,,,true,,
How do I report a lost or stolen debit card?,NBE.Core.Cards,Cards,,,true,,
Is there a mobile app for managing corporate debit card accounts?,NBE.Core.Cards,Cards,,,true,,
Is there a grace period for credit card payments?,NBE.Core.Cards,Cards,,,true,,
Are there any rewards or cashback options available for my prepaid card?,NBE.Core.Cards,Cards,,,true,,
Can I pay my credit card bill online?,NBE.Core.Cards,Cards,,,true,,
Can I use my corporate prepaid card for international transactions?,NBE.Core.Cards,Cards,,,true,,
How can I manage my corporate prepaid card account online?,NBE.Core.Cards,Cards,,,true,,
What are the fees associated with my prepaid card?,NBE.Core.Cards,Cards,,,true,,
Are there any rewards or cashback programs for corporate debit card use?,NBE.Core.Cards,Cards,,,true,,
How long does it take to receive a corporate debit card after applying?,NBE.Core.Cards,Cards,,,true,,
Can I get a cash advance on my credit card?,NBE.Core.Cards,Cards,,,true,,
Can I link my debit card to a mobile wallet app?,NBE.Core.Cards,Cards,,,true,,
How do I cancel my prepaid card?,NBE.Core.Cards,Cards,,,true,,
tell me about cards,NBE.Core.Cards,Cards,,,true,,
Can I apply for a corporate debit card for my business?,NBE.Core.Cards,Cards,,,true,,
What rewards or cashback options are available with a MasterCard Corporate Card?,NBE.Core.Cards,Cards,,,true,,
How do I dispute a charge on my credit card?,NBE.Core.Cards,Cards,,,true,,
What is the process for cancelling a corporate debit card?,NBE.Core.Cards,Cards,,,true,,
What is the credit limit on my card?,NBE.Core.Cards,Cards,,,true,,
How can I apply for a MasterCard Corporate Card from the bank?,NBE.Core.Cards,Cards,,,true,,
What is the annual fee for my credit card?,NBE.Core.Cards,Cards,,,true,,
Can I link a MasterCard Corporate Card to my accounting software?,NBE.Core.Cards,Cards,,,true,,
What is the maximum spending limit on a corporate debit card?,NBE.Core.Cards,Cards,,,true,,
How do I check my balance on my prepaid card?,NBE.Core.Cards,Cards,,,true,,
Can I reload my prepaid card?,NBE.Core.Cards,Cards,,,true,,
What are the fees associated with my debit card?,NBE.Core.Cards,Cards,,,true,,
How can I track the spending on my corporate prepaid card?,NBE.Core.Cards,Cards,,,true,,
Can I use a corporate debit card for international transactions?,NBE.Core.Cards,Cards,,,true,,
How do I activate my new debit card?,NBE.Core.Cards,Cards,,,true,,
What are the daily withdrawal and purchase limits for my debit card?,NBE.Core.Cards,Cards,,,true,,
How long does it take to receive a new corporate prepaid card if it is lost or stolen?,NBE.Core.Cards,Cards,,,true,,
What are the benefits of using a MasterCard Corporate Card?,NBE.Core.Cards,Cards,,,true,,
What are the transaction limits on my prepaid card?,NBE.Core.Cards,Cards,,,true,,
How can I cancel my corporate prepaid card if it is lost or stolen?,NBE.Core.Cards,Cards,,,true,,
How can I add money to my prepaid card?,NBE.Core.Cards,Cards,,,true,,
How do I apply for a credit card?,NBE.Core.Cards,Cards,,,true,,
Can I set spending limits for individual employees on corporate debit cards?,NBE.Core.Cards,Cards,,,true,,
How do I dispute a charge on my prepaid card?,NBE.Core.Cards,Cards,,,true,,
What fees are associated with a corporate debit card?,NBE.Core.Cards,Cards,,,true,,
How do I dispute a transaction on a corporate debit card?,NBE.Core.Cards,Cards,,,true,,
What rewards do I earn with my credit card?,NBE.Core.Cards,Cards,,,true,,
How do I activate my prepaid card?,NBE.Core.Cards,Cards,,,true,,
Can I use my credit card for this purchase?,NBE.Core.Cards,Cards,,,true,,
What are the benefits of a corporate debit card?,NBE.Core.Cards,Cards,,,true,,
how to activate your credit card,NBE.Core.Cards,Cards,,,true,,
Can I set spending limits on a MasterCard Corporate Card for my employees?,NBE.Core.Cards,Cards,,,true,,
How do I report a lost or stolen corporate debit card?,NBE.Core.Cards,Cards,,,true,,
How do I activate a new corporate debit card?,NBE.Core.Cards,Cards,,,true,,
How do I set up alerts for my debit card transactions?,NBE.Core.Cards,Cards,,,true,,
How do I open a corporate debit card account?,NBE.Core.Cards,Cards,,,true,,
How can I apply for a debit card?,NBE.Core.Cards,Cards,,,true,,
Can I use my prepaid card to withdraw cash from an ATM?,NBE.Core.Cards,Cards,,,true,,
How can I apply for a corporate prepaid card?,NBE.Core.Cards,Cards,,,true,,
Can I customize the design of my corporate prepaid card?,NBE.Core.Cards,Cards,,,true,,
What are the security features of a corporate debit card?,NBE.Core.Cards,Cards,,,true,,
Can I use my prepaid card internationally?,NBE.Core.Cards,Cards,,,true,,
cards,NBE.Core.Cards,Cards,,,true,,
What is the interest rate on my credit card?,NBE.Core.Cards,Cards,,,true,,
Are there any fees associated with using a MasterCard Corporate Card?,NBE.Core.Cards,Cards,,,true,,
What are the spending limits on a corporate prepaid card?,NBE.Core.Cards,Cards,,,true,,
Can I change my debit card PIN number?,NBE.Core.Cards,Cards,,,true,,
Can I use my prepaid card for online purchases?,NBE.Core.Cards,Cards,,,true,,
Are there any fees associated with using a corporate prepaid card?,NBE.Core.Cards,Cards,,,true,,
Can I track employee spending on corporate debit cards?,NBE.Core.Cards,Cards,,,true,,
How can I track my expenses with a MasterCard Corporate Card?,NBE.Core.Cards,Cards,,,true,,
Can transfers be made between accounts through the debit card,ANS.FAQs.corp.debit.cards.transfer.made.acc.card,FAQ: Can transfers be made between accounts through the debit card?,,Transfers can be made between accounts linked to the debit card through the ATM.,true,,
Can transfers be made between accounts through the debit card?,ANS.FAQs.corp.debit.cards.transfer.made.acc.card,FAQ: Can transfers be made between accounts through the debit card?,,Transfers can be made between accounts linked to the debit card through the ATM.,true,,
How long does the contracting procedure take?,ANS.FAQs.pos.long.contract.procedur,FAQ: How long does the contracting procedure take?,,Contracting is completed within 5 days from the account opening.,true,,
How long does the contracting procedure take,ANS.FAQs.pos.long.contract.procedur,FAQ: How long does the contracting procedure take?,,Contracting is completed within 5 days from the account opening.,true,,
What if I entered a wrong password more than once?,ANS.FAQs.alAhlyPhoneCash.enter.wrong.password.onc,FAQ: What if I entered a wrong password more than once?,,The service will be temporarily suspended until you contact the call center to cancel the suspension after verifying your data.,true,,
What if I entered a wrong password more than once,ANS.FAQs.alAhlyPhoneCash.enter.wrong.password.onc,FAQ: What if I entered a wrong password more than once?,,The service will be temporarily suspended until you contact the call center to cancel the suspension after verifying your data.,true,,
al ahly points and offers,NBE.Core.AlAhlyPointAndOffers,Al Ahly Points and Offers,,,true,,
ahly points,NBE.Core.AlAhlyPointAndOffers,Al Ahly Points and Offers,,,true,,
ahly offers,NBE.Core.AlAhlyPointAndOffers,Al Ahly Points and Offers,,,true,,
al ahly offers,NBE.Core.AlAhlyPointAndOffers,Al Ahly Points and Offers,,,true,,
al ahly points,NBE.Core.AlAhlyPointAndOffers,Al Ahly Points and Offers,,,true,,
ahly points and offers,NBE.Core.AlAhlyPointAndOffers,Al Ahly Points and Offers,,,true,,
points and offers,NBE.Core.AlAhlyPointAndOffers,Al Ahly Points and Offers,,,true,,
How to subscribe to Road Assistance Service?,ANS.FAQs.alAhlyPlatinum.services.subscrib.road.assist,FAQ: How to subscribe to Road Assistance Service?,,"For more information about Road Assistance service, how to register and how to get the service 24/7, please visit: https://www.getmayday.io/register.html",true,,
How to subscribe to Road Assistance Service,ANS.FAQs.alAhlyPlatinum.services.subscrib.road.assist,FAQ: How to subscribe to Road Assistance Service?,,"For more information about Road Assistance service, how to register and how to get the service 24/7, please visit: https://www.getmayday.io/register.html",true,,
Can I create a budget via Al Ahly Net/NBE Mobile,ANS.FAQs.alAhlyNet.nbe.mobile.ret.creat.budget,FAQ: Can I create a budget via Al Ahly Net/NBE Mobile?,,"Yes, you can create a budget for your transactions. Choose the category via the personal financial management service. You can create a one-month budget, a recurring budget or a budget for a specified period up to 3 years. You can monitor your budget through a graph. You can go to the service via the menu>Personal Financial Management>Budget>Create Budget.",true,,
Can I create a budget via Al Ahly Net/NBE Mobile?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.creat.budget,FAQ: Can I create a budget via Al Ahly Net/NBE Mobile?,,"Yes, you can create a budget for your transactions. Choose the category via the personal financial management service. You can create a one-month budget, a recurring budget or a budget for a specified period up to 3 years. You can monitor your budget through a graph. You can go to the service via the menu>Personal Financial Management>Budget>Create Budget.",true,,
menu,NBE.Core.MainMenu,Main Menu,,,true,,
start menu,NBE.Core.MainMenu,Main Menu,,,true,,
main menu,NBE.Core.MainMenu,Main Menu,,,true,,
Can financial transactions be carried out by both a maker and a checker,ANS.FAQs.alAhlyNet.nbe.mobile.corp.financi.transact.carri.maker.checker,FAQ:  Can financial transactions be carried out by both a maker and a checker?,,"Yes, financial transactions can be carried out by a maker and a checker. The corporate customer may also specify up to five levels of revision for each transaction. Confirmation steps of a financial transactions can be set up through a group of checkers in a single menu for confirmation by any one user or checker in each revision level according to the financial authority granted by the corporate customer to each user.",true,,
Can financial transactions be carried out by both a maker and a checker?,ANS.FAQs.alAhlyNet.nbe.mobile.corp.financi.transact.carri.maker.checker,FAQ:  Can financial transactions be carried out by both a maker and a checker?,,"Yes, financial transactions can be carried out by a maker and a checker. The corporate customer may also specify up to five levels of revision for each transaction. Confirmation steps of a financial transactions can be set up through a group of checkers in a single menu for confirmation by any one user or checker in each revision level according to the financial authority granted by the corporate customer to each user.",true,,
Other services which are free of charge,ANS.FAQs.al.ahly.payroll.current.acc.program.free.charg,FAQ: other services which are free of charge,,"Al Ahly Net (free of charge):
Check accounts, open certificates, obtain all types of savings products and loans, make credit card payments. (Subscription application submitted at the branch).
Al Ahly Phone (free of charge):
Check accounts 24/7 through the call center at 19623.",true,,
Other services which are free of charg,ANS.FAQs.al.ahly.payroll.current.acc.program.free.charg,FAQ: other services which are free of charge,,"Al Ahly Net (free of charge):
Check accounts, open certificates, obtain all types of savings products and loans, make credit card payments. (Subscription application submitted at the branch).
Al Ahly Phone (free of charge):
Check accounts 24/7 through the call center at 19623.",true,,
Is there an alternative for paper statements of account or can this service be cancelled?,ANS.FAQs.acc.cert.saving.pools.altern.paper.statement.acc.cancel,FAQ: Is there an alternative for paper statements of account or can this service be cancelled?,,"Yes, the customer can cancel the paper statements of account and choose either to receive e-statements via email or to review transactions using Al Ahly Net.",true,,
Is there an alternative for paper statements of account or can this service be cancelled,ANS.FAQs.acc.cert.saving.pools.altern.paper.statement.acc.cancel,FAQ: Is there an alternative for paper statements of account or can this service be cancelled?,,"Yes, the customer can cancel the paper statements of account and choose either to receive e-statements via email or to review transactions using Al Ahly Net.",true,,
Can I get a supplementary credit card? How can I determine its credit limit,ANS.FAQs.credit.cards.ret.supplementari.card.determin.it.limit,FAQ: Can I get a supplementary credit card? How can I determine its credit limit?,,"Yes, any customer can get more than one supplementary credit card with the credit limit s/he specifies, provided that the total credit limit of both the primary and supplementary credit cards does not exceed the total credit limit extended to the customer. Credit limits of supplementary cards range from EGP 1,000 up to the total value of the primary card credit limit. The Bank reserves the right to accept or reject any such request.",true,,
Can I get a supplementary credit card? How can I determine its credit limit?,ANS.FAQs.credit.cards.ret.supplementari.card.determin.it.limit,FAQ: Can I get a supplementary credit card? How can I determine its credit limit?,,"Yes, any customer can get more than one supplementary credit card with the credit limit s/he specifies, provided that the total credit limit of both the primary and supplementary credit cards does not exceed the total credit limit extended to the customer. Credit limits of supplementary cards range from EGP 1,000 up to the total value of the primary card credit limit. The Bank reserves the right to accept or reject any such request.",true,,
Is Hard Token service available to both retail and corporate customers,ANS.FAQs.alAhlyNet.nbe.mobile.ret.hard.token.avail.ret.corp.custom,FAQ: Is Hard Token service available to both retail and corporate customers?,,"Yes, the service is available to both NBE's retail and corporate customers.",true,,
Is Hard Token service available to both retail and corporate customers?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.hard.token.avail.ret.corp.custom,FAQ: Is Hard Token service available to both retail and corporate customers?,,"Yes, the service is available to both NBE's retail and corporate customers.",true,,
Can debit and credit transactions be viewed separately?,ANS.FAQs.alAhlyNet.nbe.mobile.corp.debit.credit.transact.view.separ,FAQ:  Can debit and credit transactions be viewed separately?,,"Yes, you can view debit transactions only or credit transactions only by choosing the transaction type from the drop down menu on the �Account Activity� screen.",true,,
Can debit and credit transactions be viewed separately,ANS.FAQs.alAhlyNet.nbe.mobile.corp.debit.credit.transact.view.separ,FAQ:  Can debit and credit transactions be viewed separately?,,"Yes, you can view debit transactions only or credit transactions only by choosing the transaction type from the drop down menu on the �Account Activity� screen.",true,,
How can I close my wallet?,ANS.FAQs.alAhlyPhoneCash.close.wallet,FAQ: How can I close my wallet?,,"Withdraw all the available balance, then visit the nearest NBE branch.",true,,
How can I close my wallet,ANS.FAQs.alAhlyPhoneCash.close.wallet,FAQ: How can I close my wallet?,,"Withdraw all the available balance, then visit the nearest NBE branch.",true,,
Are there any membership fees to enroll in the program?,ANS.FAQs.alAhlyPoints.membership.fee.enrol.program,FAQ: Are there any membership fees to enroll in the program?,,"No. The enrollment in AL-AHLY Points program is absolutely free of charge and NBE customers are automatically enrolled in AL-AHLy Points Rewards Program, once they activate their NBE MasterCard & Visa Cards.",true,,
Are there any membership fees to enroll in the program,ANS.FAQs.alAhlyPoints.membership.fee.enrol.program,FAQ: Are there any membership fees to enroll in the program?,,"No. The enrollment in AL-AHLY Points program is absolutely free of charge and NBE customers are automatically enrolled in AL-AHLy Points Rewards Program, once they activate their NBE MasterCard & Visa Cards.",true,,
What is the grace period for credit cards? How is debit interest calculated?,ANS.FAQs.credit.cards.ret.grace.period.debit.interest.calcul,FAQ: What is the grace period for credit cards? How is debit interest calculated?,,"The grace period is 25 days following the issuance date of the credit card statement for (MasterCard Standard - Visa Classic - MasterCard Egyptair - Visa Gold - MasterCard Titanium) cards and 27 days following the issuance date of the credit card statement for (MasterCard Manchester United - Visa Platinum - MasterCard Platinum) cards. No debit interest is charged on purchases if the debit balance is paid in full during the grace period. If the monthly minimum payment is made (for purchases), interest shall accrue as of the issuance date of the credit card statement till partial payment. Interest is then charged on the remaining amount of the outstanding balance till the end of the month.",true,,
What is the grace period for credit cards? How is debit interest calculated,ANS.FAQs.credit.cards.ret.grace.period.debit.interest.calcul,FAQ: What is the grace period for credit cards? How is debit interest calculated?,,"The grace period is 25 days following the issuance date of the credit card statement for (MasterCard Standard - Visa Classic - MasterCard Egyptair - Visa Gold - MasterCard Titanium) cards and 27 days following the issuance date of the credit card statement for (MasterCard Manchester United - Visa Platinum - MasterCard Platinum) cards. No debit interest is charged on purchases if the debit balance is paid in full during the grace period. If the monthly minimum payment is made (for purchases), interest shall accrue as of the issuance date of the credit card statement till partial payment. Interest is then charged on the remaining amount of the outstanding balance till the end of the month.",true,,
How can a one-time password (OTP) be created through the hard token?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.on.time.password.otp.creat.hard.token,FAQ: How can a one-time password (OTP) be created through the hard token?,,"Open the hard token by clicking �OK�, enter the hard token 4-digit PIN code then click �1� to create an OTP to carry out transactions through the service.",true,,
How can a one-time password (OTP) be created through the hard token,ANS.FAQs.alAhlyNet.nbe.mobile.ret.on.time.password.otp.creat.hard.token,FAQ: How can a one-time password (OTP) be created through the hard token?,,"Open the hard token by clicking �OK�, enter the hard token 4-digit PIN code then click �1� to create an OTP to carry out transactions through the service.",true,,
How can I know the card renewal date,ANS.FAQs.credit.cards.ret.know.card.renew.date,FAQ: How can I know the card renewal date?,,"The expiry date is shown on the front side of the credit card. Cards are renewed automatically in case of regular payment, unless renewal is rejected for other reasons.",true,,
How can I know the card renewal date?,ANS.FAQs.credit.cards.ret.know.card.renew.date,FAQ: How can I know the card renewal date?,,"The expiry date is shown on the front side of the credit card. Cards are renewed automatically in case of regular payment, unless renewal is rejected for other reasons.",true,,
What are the details of loans that can be viewed?,ANS.FAQs.alAhlyNet.nbe.mobile.ret.detail.loan.view,FAQ: what are the details of loans that can be viewed?,,"�	Product name
�	Loan account number
�	Account currency
�	Sanctioned loan amount
�	Loan outstanding
�	Interest rate
�	Account opening and maturity dates
�	Amounts paid to date
�	Installments paid
�	Loan tenure
�	Next installment amount
�	Remaining installments",true,,
